ADDRESS,PHONE,POSTAL,LONGITUDE,LATITUDE
"17 W Rand Rd, Arlington Heights, Illinois, 60004",(847) 506-0752,60004,-87.98250999999999,42.11319000000003
"1426 E Golf Rd, Schaumburg, Illinois, 60173",(847) 619-0095,60173,-88.04211999999995,42.05113000000006
"190 N Northwest Hwy, Park Ridge, Illinois, 60068",(847) 292-1108,60068,-87.83245999999997,42.01245000000006
"127 Skokie Blvd, Northbrook, Illinois, 60062",(847) 480-9280,60062,-87.79896999999994,42.15041000000008
"1407 Waukegan Rd, Glenview, Illinois, 60025",(847) 657-7821,60025,-87.79741999999999,42.081000000000074
"1211 Chicago Ave, Evanston, Illinois, 60202",(847) 733-0690,60202,-87.68033992281738,42.040009988891555
"483 N Harlem Ave, Oak Park, Illinois, 60301",(708) 386-1169,60301,-87.80507994445745,41.89023002553529
"735 S Rand Rd, Lake Zurich, Illinois, 60047",(847) 550-7827,60047,-88.10909999999996,42.18902000000003
"14924 S La Grange Rd, Orland Park, Illinois, 60462",(708) 349-9021,60462,-87.85468999999995,41.61826000000008
"25 N La Grange Rd, La Grange, Illinois, 60525",(708) 579-0838,60525,-87.86971999999997,41.81732000000005
"44 E Ontario St, Chicago, Illinois, 60611",(312) 951-6369,60611,-87.62626999999998,41.893320000000074
"1147 S Wabash Ave, Chicago, Illinois, 60605",(312) 588-0489,60605,-87.62579996609752,41.86779998167817
"667 W Diversey Pkwy, Chicago, Illinois, 60614",(773) 935-7255,60614,-87.64613003664367,41.932719988314616
"3745 N Lincoln Ave, Chicago, Illinois, 60613",(773) 248-4920,60613,-87.67548991949914,41.94991007718266
"1840 N Clybourn Ave, Chicago, Illinois, 60614",(312) 274-9733,60614,-87.65459001283921,41.91456001832193
